year,unit,case,amount,url
2021,臺南市政府文化局,「原日軍步兵第二聯隊官舍群周邊空間工程委託規劃設計暨監造」,8232000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210923&fn=BDM-1-53509799.xml
2021,臺南市政府文化局,臺南市府城歷史街區普濟殿街區改造工程委託規劃設計及監造,1150000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210830&fn=BDM-1-53491951.xml
2021,臺南市政府文化局,鹽分地帶文化中心可行性評估暨需求說明書規劃技術服務,990000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210823&fn=BDM-1-53486288.xml
2021,臺南市政府文化局,臺南市立舉重館耐震補強統包工程,12018377,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210629&fn=BDM-1-53438152.xml
2021,臺南市政府文化局,110-111年度本市核心大街歷史老屋立面整修工程規劃設計及監造,1245860,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210504&fn=BDM-1-53391839.xml
2021,臺南市政府文化局,110年度歷史街區及歷史老屋振興補助執行計畫,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210419&fn=BDM-1-53379274.xml
2021,臺南市政府文化局,左鎮菜寮化石文化園區第二期改建工程(北側遊客中心),19760000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210115&fn=BDM-1-53311850.xml
2021,臺南市政府文化局,臺南文化中心110年度空調機電委外維護,1200000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20210106&fn=BDM-1-53301206.xml
2020,臺南市政府文化局,歷史街區『咾咕石街東段』環境改造工程委託規劃設計暨後續擴充監造案,835826,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20201111&fn=BDM-1-53236323.xml
2020,臺南市政府文化局,安平暨鯤鯓歷史街區計畫擬定,1800000,http://web.pcc.gov.tw/prkms/prms-viewTenderDetailClient.do?ds=20200807&fn=BDM-1-53160681.xml
